Position	Technique	Gi/No-Gi
Mount Top	Americana	nogi
Mount Top	Arm Triangle	gi
Mount Top	Arm Triangle	nogi
Mount Top	Armbar	gi
Mount Top	Armbar	nogi
Mount Top	Cross Collar Choke	gi
Mount Top	Ezekiel Choke	gi
Mount Top	Gift Wrap	gi
Mount Top	Gift Wrap	nogi
Mount Top	Maintaining Mount	gi
Mount Top	Maintaining Mount	nogi
Mount Top	Mounted Triangle	gi
Mount Top	Mounted Triangle	nogi
Mount Top	S-Mount Armbar	gi
Mount Top	S-Mount Armbar	nogi
Mount Top	Technical Mount	gi
Mount Top	Technical Mount	nogi
Mount Top	Wrist Lock	gi
Mount Top	Wrist Lock	nogi
North-South Bottom	Bridge Escape	gi
North-South Bottom	Bridge Escape	nogi
North-South Bottom	Frame and Hip Escape	gi
North-South Bottom	Frame and Hip Escape	nogi
North-South Bottom	Ghost Escape	gi
North-South Bottom	Ghost Escape	nogi
North-South Bottom	Granby Roll	gi
North-South Bottom	Granby Roll	nogi
North-South Top	Armbar	gi
North-South Top	Armbar	nogi
North-South Top	Kimura	gi
North-South Top	Kimura	nogi
North-South Top	Mount Transition	gi
North-South Top	Mount Transition	nogi
North-South Top	North-South Choke	gi
North-South Top	North-South Choke	nogi
North-South Top	Paper Cutter	gi
North-South Top	Side Control Transition	gi
North-South Top	Side Control Transition	nogi
Octopus Guard	Armbar	gi
Octopus Guard	Armbar	nogi
Octopus Guard	Back Take	gi
Octopus Guard	Back Take	nogi
Octopus Guard	Guillotine	gi
Octopus Guard	Guillotine	nogi
Octopus Guard	Hip Bump Sweep	gi
Octopus Guard	Hip Bump Sweep	nogi
Octopus Guard	Octopus Entry from Half Guard	gi
Octopus Guard	Octopus Entry from Half Guard	nogi
Octopus Guard	Octopus Entry from Side Control	gi
Octopus Guard	Octopus Entry from Side Control	nogi
Octopus Guard	Octopus Sweep	gi
Octopus Guard	Octopus Sweep	nogi
Octopus Guard	Omoplata	gi
Octopus Guard	Omoplata	nogi
Octopus Guard	Triangle	gi
Octopus Guard	Triangle	nogi
Octopus Guard	Underhook Control	gi
Octopus Guard	Underhook Control	nogi
Reverse De La Riva	Back Take	gi
Reverse De La Riva	Back Take	nogi
Reverse De La Riva	Deep Half Entry	gi
Reverse De La Riva	Deep Half Entry	nogi
Reverse De La Riva	Kiss of Dragon	gi
Reverse De La Riva	Kiss of Dragon	nogi
Reverse De La Riva	Leg Drag Counter	gi
Reverse De La Riva	Leg Drag Counter	nogi
